ID,Xshape,Yshape,File_Extension
1295,300,449,jpg
1296,300,200,jpg
1297,300,300,jpg
1298,300,200,jpg
1299,300,168,jpg
1300,300,534,jpg
1301,300,477,jpg
1302,300,534,jpg
1303,300,450,jpg
1304,300,451,jpg
1305,300,475,jpg
1306,300,199,jpg
1307,300,368,jpg
1308,300,450,jpg
1309,300,420,jpg
1310,300,451,jpg
1311,300,450,jpg
1312,300,452,jpg
1313,300,450,jpg
1314,300,452,jpg
1315,300,450,jpg
1316,300,450,jpg
1317,300,389,jpg
1318,300,509,jpg
1319,300,400,jpg
1320,300,196,jpg
1321,300,199,jpg
1322,300,483,jpg
1323,300,363,jpg
1324,300,451,jpg
1325,300,199,jpg
1326,300,220,jpg
1327,300,168,jpg
1328,300,200,jpg
1329,300,200,jpg
1330,300,202,jpg
1331,300,450,jpg
1332,300,200,jpg
1333,300,450,jpg
1334,300,450,jpg
1335,300,450,jpg
1336,300,534,jpg
1337,300,451,jpg
1338,300,200,jpg
1339,300,365,jpg
1340,300,431,jpg
1341,300,168,jpg
1342,300,240,jpg
1343,300,450,jpg
1344,300,426,jpg
1345,300,225,jpg
1346,300,240,jpg
1347,300,225,jpg
1348,300,450,jpg
1349,300,450,jpg
